Query,Time,Value,Unit
"name=""joe biden"" AND channel=""CNN""",2010-11-08,24.015,seconds
"name=""joe biden"" AND channel=""CNN""",2010-11-11,42.006,seconds
"name=""joe biden"" AND channel=""CNN""",2010-11-18,1639.815,seconds
"name=""joe biden"" AND channel=""CNN""",2010-11-19,2331.2129999999997,seconds
"name=""joe biden"" AND channel=""CNN""",2010-11-21,1435.569,seconds
"name=""joe biden"" AND channel=""CNN""",2010-11-23,18.009,seconds
"name=""joe biden"" AND channel=""CNN""",2010-11-24,9,seconds
"name=""joe biden"" AND channel=""CNN""",2010-11-29,51.036,seconds
"name=""joe biden"" AND channel=""CNN""",2010-11-30,99.078,seconds
"name=""joe biden"" AND channel=""CNN""",2010-12-02,9.006,seconds
"name=""joe biden"" AND channel=""CNN""",2010-12-03,24.012,seconds
"name=""joe biden"" AND channel=""CNN""",2010-12-04,21.845,seconds
"name=""joe biden"" AND channel=""CNN""",2010-12-07,13.843,seconds
"name=""joe biden"" AND channel=""CNN""",2010-12-08,9.003,seconds
"name=""joe biden"" AND channel=""CNN""",2010-12-09,6,seconds
"name=""joe biden"" AND channel=""CNN""",2010-12-13,6.003,seconds
"name=""joe biden"" AND channel=""CNN""",2010-12-14,12.009,seconds
"name=""joe biden"" AND channel=""CNN""",2010-12-16,45.024,seconds
"name=""joe biden"" AND channel=""CNN""",2010-12-17,447.342,seconds
"name=""joe biden"" AND channel=""CNN""",2010-12-19,84.048,seconds
"name=""joe biden"" AND channel=""CNN""",2010-12-20,27.012,seconds
"name=""joe biden"" AND channel=""CNN""",2010-12-22,837.047,seconds
"name=""joe biden"" AND channel=""CNN""",2010-12-23,87.069,seconds
"name=""joe biden"" AND channel=""CNN""",2010-12-24,18,seconds
"name=""joe biden"" AND channel=""CNN""",2010-12-25,6,seconds
"name=""joe biden"" AND channel=""CNN""",2010-12-26,21.006,seconds
"name=""joe biden"" AND channel=""CNN""",2010-12-28,18.015,seconds
"name=""joe biden"" AND channel=""CNN""",2010-12-30,15.006,seconds
"name=""joe biden"" AND channel=""CNN""",2010-12-31,9,seconds
"name=""joe biden"" AND channel=""CNN""",2011-01-02,9,seconds
"name=""joe biden"" AND channel=""CNN""",2011-01-05,21,seconds
"name=""joe biden"" AND channel=""CNN""",2011-01-06,3,seconds
"name=""joe biden"" AND channel=""CNN""",2011-01-07,18.012,seconds
"name=""joe biden"" AND channel=""CNN""",2011-01-10,3,seconds
"name=""joe biden"" AND channel=""CNN""",2011-01-13,9.003,seconds
"name=""joe biden"" AND channel=""CNN""",2011-01-14,15.009,seconds
"name=""joe biden"" AND channel=""CNN""",2011-01-15,6.003,seconds
"name=""joe biden"" AND channel=""CNN""",2011-01-16,9.003,seconds
"name=""joe biden"" AND channel=""CNN""",2011-01-21,63.045,seconds
"name=""joe biden"" AND channel=""CNN""",2011-01-22,21.018,seconds
"name=""joe biden"" AND channel=""CNN""",2011-01-23,30.021,seconds
"name=""joe biden"" AND channel=""CNN""",2011-01-24,63.033,seconds
"name=""joe biden"" AND channel=""CNN""",2011-01-25,2735.8410000000003,seconds
"name=""joe biden"" AND channel=""CNN""",2011-01-26,3767.2710000000006,seconds
"name=""joe biden"" AND channel=""CNN""",2011-01-27,122.125,seconds
"name=""joe biden"" AND channel=""CNN""",2011-01-28,136.636,seconds
"name=""joe biden"" AND channel=""CNN""",2011-01-30,6,seconds
"name=""joe biden"" AND channel=""CNN""",2011-01-31,36.018,seconds
"name=""joe biden"" AND channel=""CNN""",2011-02-06,21.006,seconds
"name=""joe biden"" AND channel=""CNN""",2011-02-07,3,seconds
"name=""joe biden"" AND channel=""CNN""",2011-02-08,39.024,seconds
"name=""joe biden"" AND channel=""CNN""",2011-02-09,39.015,seconds
"name=""joe biden"" AND channel=""CNN""",2011-02-11,3,seconds
"name=""joe biden"" AND channel=""CNN""",2011-02-16,3,seconds
"name=""joe biden"" AND channel=""CNN""",2011-02-21,12.009,seconds
"name=""joe biden"" AND channel=""CNN""",2011-02-24,6.003,seconds
"name=""joe biden"" AND channel=""CNN""",2011-02-27,6,seconds
"name=""joe biden"" AND channel=""CNN""",2011-02-28,3,seconds
"name=""joe biden"" AND channel=""CNN""",2011-03-15,18.009,seconds
"name=""joe biden"" AND channel=""CNN""",2011-03-16,9.003,seconds
"name=""joe biden"" AND channel=""CNN""",2011-03-19,9.006,seconds
"name=""joe biden"" AND channel=""CNN""",2011-03-22,15.006,seconds
"name=""joe biden"" AND channel=""CNN""",2011-04-04,3,seconds
"name=""joe biden"" AND channel=""CNN""",2011-04-07,24.012,seconds
"name=""joe biden"" AND channel=""CNN""",2011-04-09,15.003,seconds
"name=""joe biden"" AND channel=""CNN""",2011-04-10,3,seconds
"name=""joe biden"" AND channel=""CNN""",2011-04-11,6,seconds
"name=""joe biden"" AND channel=""CNN""",2011-04-12,6,seconds
"name=""joe biden"" AND channel=""CNN""",2011-04-13,189.61200000000002,seconds
"name=""joe biden"" AND channel=""CNN""",2011-04-14,221.64499999999998,seconds
"name=""joe biden"" AND channel=""CNN""",2011-04-15,6.003,seconds
"name=""joe biden"" AND channel=""CNN""",2011-04-16,15.415,seconds
"name=""joe biden"" AND channel=""CNN""",2011-04-18,45.302,seconds
